Table 2. Small intestine (SI) length and nominal surface area (NSA) of omnivorous birds and eutherian mammals [common names,,,,,,,
were extracted from the Integrated Taxonomic Information System (ITIS; www.itis.gov) and ref. 1],,,,,,,
"Species
Common name",science_name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,
cm2",Source
Southern blossom bat,Syconycteris australis,Chiroptera,Pteropodidae,18.8,36.1,,62
Trident leaf-nosed bat,Asellia tridens,Chiroptera,Rhinolophidae,12.8,11.7,,55
Diadem roundleaf bat,Hipposideros diadema,Chiroptera,Rhinolophidae,43.6,24,,55
"Geoffroy's horseshoe
bat",Rhinolophus clivosus,Chiroptera,Rhinolophidae,20.1,10.2,,55
Greater horseshoe bat,"Rhinolophus
ferrumequinum",Chiroptera,Rhinolophidae,23.5,17.9,,57
Lesser horseshoe bat,"Rhinolophus
hipposideros",Chiroptera,Rhinolophidae,4.6,8.05,,55
Lesser mouse-tailed bat,"Rhinopoma
hardwickei",Chiroptera,Rhinopomatidae,12.9,5.27,,55
"Greater mouse-tailed
bat","Rhinopoma
microphyllum",Chiroptera,Rhinopomatidae,27.1,7.73,,55
Big brown bat,Eptesicus fuscus,Chiroptera,Vespertilionidae,18,,16,43
Serotine,Eptesicus serotinus,Chiroptera,Vespertilionidae,27,16.1,,57
Eastern red bat,Lasiurus borealis,Chiroptera,Vespertilionidae,12.2,8,,57
,,,,,,,
Caviedes-Vidal et al.,Table 2,,,10,,,
"Species
Common name",Scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI
NSA,2cm",Source
"Greater long-fingered
bat",Miniopterus inflatus,Chiroptera,Vespertilionidae,8.9,19.6,9.13,59
"Schreibers's long-
fingered bat","Miniopterus
schreibersi",Chiroptera,Vespertilionidae,10.9,15.97,,57
Daubenton's bat,Myotis daubentoni,Chiroptera,Vespertilionidae,7.8,17.6,,55
Mouse-eared bat,Myotis myotis,Chiroptera,Vespertilionidae,25,17.55,,57
Whiskered bat,Myotis mystacinus,Chiroptera,Vespertilionidae,4.85,13,,55
Natterer's bat,Myotis nattereri,Chiroptera,Vespertilionidae,7.15,14.8,,55
Noctule bat,Nyctalus noctula,Chiroptera,Vespertilionidae,26,17.05,,55
Kuhl's pipistrelle,Pipistrellus kuhlii,Chiroptera,Vespertilionidae,6.3,9.3,,55
Common pipistrelle,"Pipistrellus
pipistrellus",Chiroptera,Vespertilionidae,6.6,9.6,,57
Brown big-eared bat,Plecotus auritus,Chiroptera,Vespertilionidae,11.4,12,,57
"Lesser Asiatic yellow
bat",Scotophilus kuhlii,Chiroptera,Vespertilionidae,19.6,20,,55
Parti-colored bat,Vespertilio murinus,Chiroptera,Vespertilionidae,33.3,25.5,,55
1,"Wilson DE, Reeder DM (1993) Mammal Species of the World: A Taxonomic and Geographic Reference (Smithsonian Institution,",,,,,,
,"Washington, DC), 2nd Ed.",,,,,,
2,"Moorman TE, Baldassare GA, Richard DM (1992) Condor 94: 401-417.",,,,,,
3,"DeGolier TF, Mahoney SA, Duke GE (1999) Condor 101: 622-634.",,,,,,
4,"Lavin SR (2007) PhD thesis (University of Wisconsin, Madison).",,,,,,
5,Karasov WH (1990) Stud Avian Biol 13: 391-415.,,,,,,
6,"Barnes GG, Thomas VG (1987) Can J Zool 65: 1812-1817.",,,,,,
7,"Kehoe FP, Ankney CD (1985) Can J Zool 63: 2339-2342.",,,,,,
8,"Verzar F, McDougall EJ (1936) Absorption From the Intestine (Longmans and Green, London).",,,,,,
9,"Obst BS, Diamond JM (1989) J Exp Zool Suppl 3: 117-126.",,,,,,
10,"Karasov WH, Afik D, Darken BW (1996) Comp Biochem Physiol 113A: 233-238.",,,,,,
11,Leopold AS (1953) J Wildl Manag 2: 197-203.,,,,,,
12,"Christaki E, Babidis V, Florou-Paneri P, Kufidis D, Spais AB (1997) Anim Feed Sci Tech 65: 287-292.",,,,,,
13,"Starck JM, Rahmaan GHA (2003) J Exp Biol 206: 1887-1897.",,,,,,
,,,,,,,
Caviedes-Vidal et al. Table 2,,11,,,,,
14,"Pulliainen E, Helle E, Tunkkari P (1981) Orn Fenn 58: 21-28.",,,,,,
15,Przystalski A (1985) Zool Polon 32: 14-21.,,,,,,
16,Ricklefs RE (1996) Condor 98: 279-292.,,,,,,
17,Davis J (1961) Condor 63: 313-321.,,,,,,
18,"Martínez del Rio C, Brugger KE, Rios JL, Vergara ME, Witmer M (1995) Physiol Zool 68: 490-511.",,,,,,
19,Karasov WH. Levey DJ (1990) Physiol Zool 63: 1248-1270.,,,,,,
20,Przystalski A (1984) Act Biol Cracov 26: 89-99.,,,,,,
21,Herrera CM (1984) Ecology 65: 609-617.,,,,,,
22,Przystalski A (1986) Zool Polon 35: 5-20.,,,,,,
23,"Afik D, Karasov WH (1995) Ecology 76: 2247-2257.",,,,,,
24,"Afik D, Darken BW, Karasov WH (1997) Physiol Zool 70: 213-221.",,,,,,
25,"Levey DJ, Place AR, Rey PJ, Martínez del Rio C (1999) Physiol Biochem Zool 72: 576-587.",,,,,,
26,"Schondube JE, Martínez del Rio C (2004) J Comp Physiol B 174: 263-273.",,,,,,
27,"Caviedes-Vidal E, Afik D, Martínez del Rio C, Karasov WH (2000) Comp Biochem Physiol A-Mol Integr Physiol 125: 11-24.",,,,,,
28,Przystalski A (1987) Act Biol Cracov 29: 93-104.,,,,,,
29,"Hume ID, Biebach H (1996) J Comp Physiol B 166: 388-395.",,,,,,
30,"Witmer MC, Martínez del Rio C (2001) Physiol Biochem Zool 74: 584-593.",,,,,,
31,"Downs CT, van Dyk RJ, Iji P (2002) Comp Biochem Physiol A 133: 125-134.",,,,,,
32,"Chivers DJ, Hladik CM (1980) J Morph 166: 337-386.",,,,,,
33,Snipes RL (1997) Adv Anat Embry Cell Biol 138: 1-88.,,,,,,
34,Pappenheimer JR (1998) Comp Biochem Physiol 121A: 45-58.,,,,,,
35,"Anderson JH, Taylor AB (1973) J Morph 141: 281-291.",,,,,,
36,"Snipes RL, Kriete A (1991) Zeitschrift für Säugetierkunde 56: 225-244.",,,,,,
37,"Fahey GC, Merchen NR Jr, Corbin AK, Hamilton AK, Serbe KA, Hirakawa DA (1990) J Anim Sci 68: 4229-4235.",,,,,,
38,Fooden J (1964) Am J Phys Anthropol 22: 227-231.,,,,,,
39,"Bruorton MR, Perrin MR (1991) Zeitschrift für Säugetierkunde 56: 65-71.",,,,,,
40,"Young Owl M (1982) Allometry in Primate Digestive Systems (University of California, Los Angeles).",,,,,,
41,"Marsh MN, Swift JA (1968) Gut 9: 727-728.",,,,,,
42,"Wilson TH (1962) Intestinal Absorption (Saunders, Philadelphia).",,,,,,
43,Barry RE Jr (1976) J Mammal 57: 273-289.,,,,,,
44,"Perrin MR, Curtis BA (1980) S Afr J Zool 15: 22-33.",,,,,,
45,"Knight MH, Knight-Eloff AK (1987) J Zool 213: 7-22.",,,,,,
46,"Karasov WH, Solberg DH, Diamond JM (1985) Am J Physiol 249: G271-G283.",,,,,,
47,"Sakaguchi E, Itoh H, Uchida S, Horigome T (1987) Br J Nutr 58: 149-158.",,,,,,
48,"Diamond JM, Karasov WH (1984) J Physiol 349: 419-440.",,,,,,
49,Wood HO (1944) J Anat 78: 103-105.,,,,,,
,,,,,,,
Caviedes-Vidal et al. Table 2,,12,,,,,
50,"Palay SL, Karlin LJ (1959) J Biophys Biochem Cytol 5: 373-383.",,,,,,
51,"Keegan DJ, Mödinger R (1979) S Afr J Zool 14: 220-223.",,,,,,
52,"Mayhew TM, Middleton C (1985) J Anat 141: 1-17.",,,,,,
53,"Clemens ET, Stevens CE (1980) J Agric Sci 94: 735-737.",,,,,,
54,"Sakaguchi E, Nabata A (1982) Comp Biochem Physiol A 103: 601-604.",,,,,,
55,"Jones KE, MacLarnon AM (2004) Am Nat 164: E20-E31.",,,,,,
56,Klite PD (1965) J Bacteriol 90: 375-379.,,,,,,
57,"Cruz-Neto AP, Jones KE (2006) in Functional and Evolutionary Ecology of Bats, eds Zubaid A, McCracken G, Kunz TH (Oxford",,,,,,
,"University Press, Oxford), pp 59-78.",,,,,,
58,"Schondube JE, Herrera-M. LG, Martínez del Rio C (2001) Zool-Anal Compl Syst 104: 59-73.",,,,,,
59,"Makanya AN, Maina JN, Mayhew TM, Tschanz SA, Burri PH (1997) J Exp Biol 200: 2415-2423.",,,,,,
60,"Tedman RA, Hall LS (1985) Aust J Zool 33: 625-640.",,,,,,
61,"Tedman RA, Hall LS (1985) Aust Mammal 8: 271-278.",,,,,,
62,Law BS (1992) Funct Ecol 6: 257-264.,,,,,,
